,0,Team,Real Team Name,Cleaned Blurb
67,Coach: Quin Snyder (50-32),UTA,Utah Jazz,Coach: Quin Snyder (50-32)
68,Executive: Dennis Lindsey,UTA,Utah Jazz,Executive: Dennis Lindsey
69,"
PTS/G: 
      111.7 (17th of 30)
      Opp PTS/G: 
      106.5 (4th of 30)
    ",UTA,Utah Jazz,PTS/G: 111.7 (17th of 30) Opp PTS/G: 106.5 (4th of 30)
70,"
SRS: 5.28 (4th of 30)
      
      Pace: 100.3 (13th of 30)
    ",UTA,Utah Jazz,SRS: 5.28 (4th of 30) Pace: 100.3 (13th of 30)
71,"
Off Rtg: 110.9 (15th of 30)
      Def Rtg: 105.7 (2nd of 30)
    ",UTA,Utah Jazz,Off Rtg: 110.9 (15th of 30) Def Rtg: 105.7 (2nd of 30)
72,"
Record:
    
      42-40, Finished 6th in NBA 
     Eastern Conference    
    
    
    
    
",BRK,Brooklyn Nets,"Record: 42-40, Finished 6th in NBA Eastern Conference"
73,Coach: Kenny Atkinson (42-40),BRK,Brooklyn Nets,Coach: Kenny Atkinson (42-40)
74,Executive: Sean Marks,BRK,Brooklyn Nets,Executive: Sean Marks
75,"
PTS/G: 
      112.2 (15th of 30)
      Opp PTS/G: 
      112.3 (18th of 30)
    ",BRK,Brooklyn Nets,PTS/G: 112.2 (15th of 30) Opp PTS/G: 112.3 (18th of 30)
76,"
SRS: -0.40 (15th of 30)
      
      Pace: 100.8 (11th of 30)
    ",BRK,Brooklyn Nets,SRS: -0.40 (15th of 30) Pace: 100.8 (11th of 30)
77,"
Off Rtg: 109.6 (19th of 30)
      Def Rtg: 109.7 (14th of 30)
    ",BRK,Brooklyn Nets,Off Rtg: 109.6 (19th of 30) Def Rtg: 109.7 (14th of 30)
78,"
Record:
    
      39-43, Finished 9th in NBA 
     Eastern Conference    
    
    
    
    
",CHO,Charlotte Hornets,"Record: 39-43, Finished 9th in NBA Eastern Conference"
79,Coach: James Borrego (39-43),CHO,Charlotte Hornets,Coach: James Borrego (39-43)
80,Executive: Mitch Kupchak,CHO,Charlotte Hornets,Executive: Mitch Kupchak
81,"
PTS/G: 
      110.7 (19th of 30)
      Opp PTS/G: 
      111.8 (17th of 30)
    ",CHO,Charlotte Hornets,PTS/G: 110.7 (19th of 30) Opp PTS/G: 111.8 (17th of 30)
82,"
SRS: -1.32 (22nd of 30)
      
      Pace: 98.7 (21st of 30)
    ",CHO,Charlotte Hornets,SRS: -1.32 (22nd of 30) Pace: 98.7 (21st of 30)
83,"
Off Rtg: 111.4 (12th of 30)
      Def Rtg: 112.5 (22nd of 30)
    ",CHO,Charlotte Hornets,Off Rtg: 111.4 (12th of 30) Def Rtg: 112.5 (22nd of 30)
84,"
Record:
    
      49-33, Finished 6th in NBA 
     Western Conference    
    
    
    
    
",OKC,Oklahoma City Thunder,"Record: 49-33, Finished 6th in NBA Western Conference"
85,Coach: Billy Donovan (49-33),OKC,Oklahoma City Thunder,Coach: Billy Donovan (49-33)
86,Executive: Sam Presti,OKC,Oklahoma City Thunder,Executive: Sam Presti
87,"
PTS/G: 
      114.5 (7th of 30)
      Opp PTS/G: 
      111.1 (15th of 30)
    ",OKC,Oklahoma City Thunder,PTS/G: 114.5 (7th of 30) Opp PTS/G: 111.1 (15th of 30)
88,"
SRS: 3.56 (9th of 30)
      
      Pace: 102.8 (6th of 30)
    ",OKC,Oklahoma City Thunder,SRS: 3.56 (9th of 30) Pace: 102.8 (6th of 30)
89,"
Off Rtg: 110.3 (17th of 30)
      Def Rtg: 107.0 (4th of 30)
    ",OKC,Oklahoma City Thunder,Off Rtg: 110.3 (17th of 30) Def Rtg: 107.0 (4th of 30)
90,"
Record:
    
      42-40, Finished 7th in NBA 
     Eastern Conference    
    
    
    
    
",ORL,Orlando Magic,"Record: 42-40, Finished 7th in NBA Eastern Conference"
91,Coach: Steve Clifford (42-40),ORL,Orlando Magic,Coach: Steve Clifford (42-40)
92,Executive: Jeff Weltman,ORL,Orlando Magic,Executive: Jeff Weltman
93,"
PTS/G: 
      107.3 (24th of 30)
      Opp PTS/G: 
      106.6 (5th of 30)
    ",ORL,Orlando Magic,PTS/G: 107.3 (24th of 30) Opp PTS/G: 106.6 (5th of 30)
94,"
SRS: 0.28 (14th of 30)
      
      Pace: 98.1 (25th of 30)
    ",ORL,Orlando Magic,SRS: 0.28 (14th of 30) Pace: 98.1 (25th of 30)
